pid,ts,designation,stCounty,refFrame,epoch,lat,latDms,latP2p,lon,lonDms,lonP2p,ellHt,ellHtP2p,datum,orthoHt,orthoHtP2p,observed,agency,monumentType,monumentDesc,setting,specificSetting,stamping,stability,magnetic,condition,description
FU0118,21347134729,W 825,"CA,Kern County",NAD_83(2011),2010.0000,35.3111794306,N351840.24595,0.005,-118.8428683306,W1185034.32599,0.011,153.659,0.007,NAVD88 (Computed using GEOID18),186.464,0.062,2021-12-08 18:51:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,W 825 1947,May hold commonly subject to ground movement, ,G,FOUND IN GOOD CONDITION AS DESCRIBED
FU0129,19345153816,D 538,"CA,Kern County",NAD_83(2011),2010.0000,35.2525520000,N351509.18720,0.004,-118.8328555194,W1184958.27987,0.022,124.343,0.017,NAVD88 (Computed using GEOID18),157.220,0.067,2019-12-09 19:57:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Light structures (other than listed below), ,D 538 1957,Monuments of questionable or unknown reliability, ,G,FOUND IN GOOD CONDITION AS DESCRIBED
FU0133,21347143935,C 543,"CA,Kern County",NAD_83(2011),2010.0000,35.1223100000,N350720.31600,0.006,-118.8411056500,W1185027.98034,0.012,146.434,0.008,NAVD88 (Computed using GEOID18),179.320,0.066,2021-12-08 19:51:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Light structures (other than listed below), ,C 543 1957,Monuments of questionable or unknown reliability, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU0157,21357115231,W 292,"CA,Kern County",NAD_83(2011),2010.0000,35.4249239889,N352529.72636,0.012,-118.8200446306,W1184912.16067,0.013,168.956,0.012,NAVD88 (Computed using GEOID18),201.317,0.062,2021-12-21 17:38:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,W 292 1935,May hold commonly subject to ground movement, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU0204,19168161022,V 538,"CA,Kern County",NAD_83(2011),2010.0000,35.0935651889,N350536.83468,0.005,-118.9755847389,W1185832.10506,0.029,95.772,0.039,NAVD88 (Computed using GEOID18),129.329,0.074,2019-06-12 19:40:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,V 538 1957,May hold commonly subject to ground movement, ,G,Found in good condition as described
FU0214,20016164609,U 826 RESET,"CA,Kern County",NAD_83(2011),2010.0000,35.0930320111,N350534.91524,0.010,-118.8958890694,W1185345.20065,0.013,115.496,0.016,NAVD88 (Computed using GEOID18),148.684,0.063,2020-01-14 17:27:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,U 826 1947 RESET 1965,May hold commonly subject to ground movement, ,S,FOUND IN GOOD CONDITION AS DESCRIBED. MONUMENT NOW SITS 2.5 FT BGS IN LOOSE POORLY GRADED SANDS
FU0250,20328145046,METTLER G,"CA,Kern County",NAD_83(2011),2010.0000,35.0433029694,N350235.89069,0.005,-118.9630088000,W1185746.83168,0.008,165.749,0.006,NAVD88 (Computed using GEOID18),198.982,0.052,2020-11-04 18:17:00+00:00,Provost & Pritchard Consulting Group,Disk,Triangulation station disk,Set in top of concrete monument, ,METTLER-G 1964,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU0343,20037164815,S 825,"CA,Kern County",NAD_83(2011),2010.0000,35.3567014806,N352124.12533,0.007,-118.9062556194,W1185422.52023,0.020,112.509,0.006,NAVD88 (Computed using GEOID18),145.491,0.058,2020-02-03 18:46:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Abutment or pier of large bridges, ,S 825 1947,Monument will probably hold position well, ,G,FOUND IN GOOD CONDITION AS DESCRIBED
FU0344,20038104859,T 825,"CA,Kern County",NAD_83(2011),2010.0000,35.3526580694,N352109.56905,0.007,-118.8894347611,W1185321.96514,0.022,124.253,0.015,NAVD88 (Computed using GEOID18),157.174,0.064,2020-02-03 18:57:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Abutment or pier of large bridges, ,T 825 1947,Monument will probably hold position well, ,G,FOUND IN GOOD CONDITION AS DESCRIBED
FU0670,20330112047,Q 1156,"CA,Kern County",NAD_83(2011),2010.0000,35.7612856806,N354540.62845,0.007,-119.4013258500,W1192404.77306,0.003,35.776,0.021,NAVD88 (Computed using GEOID18),69.621,0.073,2020-11-16 20:53:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,Q 1156 1962,May hold commonly subject to ground movement, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
