pid,navd88_match_line,navd88_ft,ngvd29_flag,ngvd29_ft,error
MX0133,"NAVD 88
 ORTHO HEIGHT - 1097.455 (meters) 3600.57 (feet) ADJUSTED",3600.57,True,3596.96,
MX0139,"NAVD 88
 ORTHO HEIGHT - 1157.942 (meters) 3799.01 (feet) ADJUSTED",3799.01,True,3795.32,
MX0021,"NAVD 88
 ORTHO HEIGHT - 1211.757 (meters) 3975.57 (feet) POSTED",3975.57,True,3971.76,
NY0436,"NAVD 88
 ORTHO HEIGHT - 1248.142 (meters) 4094.95 (feet) POSTED",4094.95,,,
NY0424,"NAVD 88
 ORTHO HEIGHT - 1248.135 (meters) 4094.92 (feet) ADJUSTED",4094.92,False,4091.27,
NY0432,"NAVD 88
 ORTHO HEIGHT - 1248.248 (meters) 4095.29 (feet) ADJUSTED",4095.29,False,4091.65,
NY0445,"NAVD 88
 ORTHO HEIGHT - 1250.585 (meters) 4102.96 (feet) ADJUSTED",4102.96,False,4099.39,
NY0440,"NAVD 88
 ORTHO HEIGHT - 1250.842 (meters) 4103.80 (feet) ADJUSTED",4103.8,False,4100.23,
NY0448,"NAVD 88
 ORTHO HEIGHT - 1252.804 (meters) 4110.24 (feet) ADJUSTED",4110.24,False,4106.68,
NY0450,"NAVD 88
 ORTHO HEIGHT - 1252.845 (meters) 4110.38 (feet) POSTED",4110.38,False,4106.8,
NY0452,"NAVD 88
 ORTHO HEIGHT - 1253.137 (meters) 4111.33 (feet) ADJUSTED",4111.33,False,4107.79,
NY0655,,,,,
NY0420,"NAVD 88
 ORTHO HEIGHT - 1260.537 (meters) 4135.61 (feet) POSTED",4135.61,,,
NY0418,"NAVD 88
 ORTHO HEIGHT - 1263.690 (meters) 4145.96 (feet) ADJUSTED",4145.96,False,4142.28,
NY0481,"NAVD 88
 ORTHO HEIGHT - 1264.981 (meters) 4150.19 (feet) ADJUSTED",4150.19,False,4146.43,
NY0461,"NAVD 88
 ORTHO HEIGHT - 1265.336 (meters) 4151.36 (feet) ADJUSTED",4151.36,False,4147.73,
NY0464,"NAVD 88
 ORTHO HEIGHT - 1265.487 (meters) 4151.85 (feet) ADJUSTED",4151.85,False,4148.2,
NY0459,,,,,
NY0473,"NAVD 88
 ORTHO HEIGHT - 1266.385 (meters) 4154.80 (feet) ADJUSTED",4154.8,False,4151.09,
NY0416,"NAVD 88
 ORTHO HEIGHT - 1266.430 (meters) 4154.95 (feet) ADJUSTED",4154.95,False,4151.26,
NY0467,"NAVD 88
 ORTHO HEIGHT - 1266.467 (meters) 4155.07 (feet) ADJUSTED",4155.07,False,4151.35,
NY0476,"NAVD 88
 ORTHO HEIGHT - 1266.465 (meters) 4155.06 (feet) ADJUSTED",4155.06,False,4151.34,
NY0482,"NAVD 88
 ORTHO HEIGHT - 1267.158 (meters) 4157.33 (feet) ADJUSTED",4157.33,False,4153.56,
NY0496,"NAVD 88
 ORTHO HEIGHT - 1268.537 (meters) 4161.86 (feet) ADJUSTED",4161.86,False,4158.1,
NY0515,"NAVD 88
 ORTHO HEIGHT - 1268.311 (meters) 4161.12 (feet) ADJUSTED",4161.12,False,4157.21,
NY0670,,,,,
NY0414,"NAVD 88
 ORTHO HEIGHT - 1270.281 (meters) 4167.58 (feet) ADJUSTED",4167.58,False,4163.89,
NY0487,"NAVD 88
 ORTHO HEIGHT - 1272.437 (meters) 4174.65 (feet) POSTED",4174.65,False,4170.87,
NY0488,"NAVD 88
 ORTHO HEIGHT - 1272.852 (meters) 4176.02 (feet) POSTED",4176.02,False,4172.24,
NY0491,"NAVD 88
 ORTHO HEIGHT - 1273.276 (meters) 4177.41 (feet) POSTED",4177.41,False,4173.66,
NY0493,"NAVD 88
 ORTHO HEIGHT - 1273.785 (meters) 4179.08 (feet) ADJUSTED",4179.08,False,4175.33,
NY0669,,,,,
NY0499,"NAVD 88
 ORTHO HEIGHT - 1275.811 (meters) 4185.72 (feet) ADJUSTED",4185.72,False,4181.98,
NY0668,,,,,
NY0455,"NAVD 88
 ORTHO HEIGHT - 1281.253 (meters) 4203.58 (feet) ADJUSTED",4203.58,False,4199.95,
MW0660,"NAVD 88
 ORTHO HEIGHT - 1282.512 (meters) 4207.71 (feet) ADJUSTED",4207.71,True,4204.05,
MW0658,"NAVD 88
 ORTHO HEIGHT - 1286.758 (meters) 4221.64 (feet) POSTED",4221.64,True,4217.77,
MW0644,,,,,
MW0656,,,,,
MW0635,,,,,
MW0640,,,,,
MW0650,"NAVD 88
 ORTHO HEIGHT - 1293.052 (meters) 4242.29 (feet) ADJUSTED",4242.29,True,4238.56,
MW0643,,,,,
MW0706,,,,,
MW0651,"NAVD 88
 ORTHO HEIGHT - 1293.513 (meters) 4243.80 (feet) ADJUSTED",4243.8,True,4240.08,
MW0655,"NAVD 88
 ORTHO HEIGHT - 1294.873 (meters) 4248.26 (feet) POSTED",4248.26,True,4244.42,
MW0652,"NAVD 88
 ORTHO HEIGHT - 1294.353 (meters) 4246.56 (feet) POSTED",4246.56,True,4242.74,
NY0507,,,,,
MW0653,"NAVD 88
 ORTHO HEIGHT - 1295.368 (meters) 4249.89 (feet) POSTED",4249.89,True,4246.05,
MW0625,,,,,
MW0710,,,,,
MW0623,"NAVD 88
 ORTHO HEIGHT - 1301.462 (meters) 4269.88 (feet) ADJUSTED",4269.88,True,4266.06,
MX0909,,,,,
MW0621,"NAVD 88
 ORTHO HEIGHT - 1310.321 (meters) 4298.94 (feet) ADJUSTED",4298.94,True,4295.12,
NY0526,"NAVD 88
 ORTHO HEIGHT - 1310.496 (meters) 4299.52 (feet) POSTED",4299.52,False,4295.77,
MW0707,,,,,
NY0530,"NAVD 88
 ORTHO HEIGHT - 1321.067 (meters) 4334.20 (feet) POSTED",4334.2,,,
MW0617,"NAVD 88
 ORTHO HEIGHT - 1329.666 (meters) 4362.41 (feet) POSTED",4362.41,True,4358.47,
MW0616,"NAVD 88
 ORTHO HEIGHT - 1338.660 (meters) 4391.92 (feet) ADJUSTED",4391.92,True,4388.06,
MW0613,"NAVD 88
 ORTHO HEIGHT - 1352.208 (meters) 4436.37 (feet) ADJUSTED",4436.37,True,4432.48,
MW0708,,,,,
MW0611,"NAVD 88
 ORTHO HEIGHT - 1369.177 (meters) 4492.04 (feet) ADJUSTED",4492.04,True,4488.17,
NY0667,,,,,
NY0539,"NAVD 88
 ORTHO HEIGHT - 1385.948 (meters) 4547.06 (feet) ADJUSTED",4547.06,False,4543.2,
NY0536,"NAVD 88
 ORTHO HEIGHT - 1394.852 (meters) 4576.28 (feet) ADJUSTED",4576.28,False,4572.42,
